kabupaten,tahun,Pelayanan_Umum,Ketertiban_aman,Ekonomi,Lingk_hidup,Perum_Fasum,Kesehatan,Pariwisata,Pendidikan,Perlindungan_Sosial,Total,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin
Jeneponto,2017,327.6045145,10.67723608,93.48299479,101.8016898,13.09595774,267.5503601,6.665856234,299.1525636,16.66890459,1136.700077,2776.81,141.08,212.98,11.09,5.08,632.5,877.24,64.25,19.74,287.65,118.1,135.76,1.14,387.43,128.66,129.22,34.83,5963.56,62.67,15.4,8.25,0.33,3.31,359.92,23.94,23.54,55.34
Jeneponto,2018,419.3480272,11.13785451,59.39257423,6.029574398,119.2703842,208.1808763,3.594963913,351.7262189,7.610681749,1186.291155,2807.77,157.06,222.88,12.53,5.48,736.55,985.55,70.79,22.21,316.46,121.17,142.64,1.23,415.76,141.11,141.01,38.56,6338.74,63.33,15.48,6.29,0.31,2.81,361.89,26.03,20.75,55.95
Jeneponto,2019,436.8879686,11.72481939,61.32920265,6.163982706,107.86803,300.7841634,4.332960376,408.4836858,12.19451096,1349.769324,2834.8,169.68,242.48,13.57,5.49,774.33,1099.36,78.47,24.36,352.35,118.3,151.58,1.33,477.14,152.16,147.51,42.69,6685.62,64,14.88,5.47,0.33,1.99,363.75,27.74,22.39,54.05
Jeneponto,2020,320.6514317,9.408530303,44.63654135,5.021074259,112.3718499,250.5437678,2.55580903,339.9776867,26.88982222,1112.056513,2809.75,168.8,242.4,14.58,5.79,759.75,1081.87,74.72,21.63,403.73,123.96,155.37,1.34,475.97,161.27,156.62,38.88,6696.42,64.26,14.58,0.16,0.35,2.31,401.61,25.7,20.33,53.24
Jeneponto,2022,350.735652,31.59713921,126.0535754,16.11121389,29.77294209,275.9083222,4.202602763,353.452945,9.485363802,1197.319756,2813.74,170.62,276.2,22.05,6.73,837.42,1359.48,99.03,28.75,463.47,128.48,167.96,1.53,542.52,182.53,181.2,45.8,7327.53,65.13,13.73,3.81,0.34,2.21,409.89,28.74,22.21,50.59
Jeneponto,2023,319.2906939,11.36899681,86.14817557,11.95050322,17.65041479,284.4650301,2.774820294,394.8007245,6.909318655,1135.358678,2678.63,188.84,285.36,25.77,7.19,864.25,1471.5,108.4,31.77,537.75,121.74,179.03,1.45,520.37,190.44,203.51,50.54,7466.55,65.9,13.06,1.9,0.34,2.13,414.48,29.32,24.55,48.32
Jeneponto,2024,377.0668447,0,0,0,0,386.1166182,2.623736345,412.4118434,0,1157.243316,2884.89,194.56,297.11,26.8,7.36,884.82,1543.5,114.86,33.74,573.75,124.71,189.36,1.5,549.44,208.85,224.38,57.05,7916.7,66.38,11.82,6.03,0.3,2.47,418.97,31.17,21.78,43.9
Jeneponto,2025,361.2790092,0,0,0,0,377.1653563,0.937852448,426.1597648,0,1118.066878,3095.25,199.03,320.45,24.87,7.61,930.46,1647.8,119.6,36.87,605.74,134.56,200.58,1.57,595.9,217.43,238.54,62.55,8438.81,70.25,11.42,6.59,0.3,1.88,423.4,34.11,21.07,42.56
Luwu,2014,196.9889895,7.455618986,73.40861403,42.54221761,66.15830032,118.8210083,3.166662452,386.7277134,22.08969992,917.3588245,3527.36,159.19,316.15,9.19,1.17,613.48,790.69,55.45,50.81,190.17,94.57,423.91,1.6,324.43,224.79,132.45,18.62,6934.03,67.34,13.95,8.81,0.41,5.1,347.1,25.98,42.59,48.5
Luwu,2015,319.1257787,11.41521543,87.15459695,37.64648994,113.7380911,154.8273784,4.963111531,394.4335597,21.92181568,1145.226037,3756.05,168.83,330.2,8.53,1.18,646.04,864.5,59.15,54.01,218.1,104.32,452.54,1.79,344.66,255.29,151.7,20.53,7437.42,68.11,13.89,7.26,0.36,7.86,349.99,29.59,44.05,48.64
Luwu,2016,123.5352154,210.0348271,8.121022496,13.23549487,5.618463798,430.5987325,427.8585839,37.28593342,224.8000927,1481.088366,4048.68,184.04,359.81,10.07,1.3,678.28,938.88,61.94,58.2,237.43,120.24,484.98,1.95,372.23,279.76,163.39,22.19,8023.37,68.71,14.35,7.88,0.36,7.86,353.84,33.55,45.5,50.58
Luwu,2017,422.7313175,17.26551432,78.03386479,174.543264,9.290192753,194.489716,4.85468066,355.2604591,26.95267856,1283.421688,4267.8,200.41,387.11,10.67,1.41,712.78,999.37,65.73,61.63,258.05,126.83,517.08,2.19,389.6,302.25,240.35,24.62,8567.87,69.02,14.01,6.79,0.4,4.78,357.23,36.56,46.95,49.8
Luwu,2018,473.9031218,20.28087625,92.94119127,15.60903145,131.8086954,204.9207084,6.14801045,367.3014677,20.94542547,1333.858528,4565.48,212.83,414.03,11.47,1.5,756.96,1080.04,74.81,68.4,281.68,130.8,541.09,2.37,398.37,329.74,258.38,27.64,9155.58,69.6,13.36,6.86,0.36,3.89,360.54,40.2,25.39,47.91
Luwu,2019,471.7909938,19.24328055,70.08053376,11.33573435,207.1172921,232.8476222,6.701581538,408.1767954,21.77323785,1449.067072,4747.14,227.42,457.47,11.93,1.56,823.64,1173.45,81.81,72.56,309.75,136.65,572.49,2.56,446.86,354.86,278.88,29.93,9728.97,70.39,12.78,6.26,0.35,4.38,363.75,43.04,30.07,46.18
Luwu,2020,472.9572985,14.22125284,54.31043545,7.791547522,193.6755987,259.8182138,3.58640373,396.6363686,16.0445877,1419.041707,4762.2,231.8,426.7,12.6,1.7,839.6,1166.7,73.8,69.7,349.7,144.5,605.6,2.5,446.1,380.7,313.3,28.9,9855.9,70.51,12.65,1.3,0.4,4.94,365.61,43.91,25.96,46.04
Luwu,2021,430.2440728,33.5534364,212.0746168,29.8222806,11.52297852,264.6028583,3.755379133,402.9181667,15.45929905,1403.953088,5014.2,240.6,459.4,13.3,1.7,854.2,1279.6,79.5,76.8,377.1,157.5,642.7,2.6,473.1,399.9,346.2,31.3,10449.8,70.85,12.53,6.03,0.38,4.8,369.36,48.3,25.65,46.26
Luwu,2022,446.9081153,14.33766942,269.8904993,12.86216626,47.16211262,271.7936482,3.994266849,395.8966702,7.170260471,1470.015409,5265.6,251,480.1,13.8,1.9,934.5,1391.4,92.7,90.4,399,158.3,673.5,2.9,471.7,416.2,367.7,34,11044.7,71.36,12.49,5.69,0.36,3.85,374.32,53.38,29.17,46.5
Luwu,2023,446.6394228,14.92703548,286.4996906,7.462630462,45.75376096,307.1529139,3.35127425,464.2553343,7.290474712,1583.332538,5386.4,275.4,501,15.7,1.9,1081.2,1531.7,100.8,101.2,433.7,153.6,711,3.2,489.2,450.8,394,37.3,11668.1,72.16,12.71,5.64,0.34,3.7,379.3,57.36,35.09,47.67
Luwu,2025,464.0548635,0,0,0,0,369.6603284,3.243701395,507.9492814,0,1367.840762,5884.1,302.8,764.9,15.7,2.1,1175.6,1737.9,112.7,118.1,486.1,169.4,766.7,3.6,536.7,501.1,457,47.4,13081.7,74.66,10.97,7.43,0.33,3.71,389.3,63.45,33.51,41.76
Luwu Timur,2014,269.2123798,13.28889903,97.38752584,26.27823276,150.2342664,165.6886196,1.184201179,209.9479716,11.91923882,945.141335,2353.14,8392.37,356.64,7.04,0.89,965.94,433.19,76.99,18.77,182.08,108.52,213.03,5.28,248.81,227.12,146.31,11.9,13748.02,69.75,7.67,8.1,0.44,8.1,269.4,70.63,40.23,20.8
Luwu Timur,2015,306.2370247,15.40042076,113.35697,29.43856892,207.1962405,214.1895855,1.651032191,284.9668964,13.52128695,1185.958026,2550.58,8831.74,383.21,7.42,0.89,1046.27,470.4,82.8,19.91,201.52,114.51,228.78,5.59,270.97,243.59,159.92,12.97,14631.06,70.43,7.18,6.42,0.47,5.37,275.13,69.73,40.64,19.67
Luwu Timur,2016,111.0364575,188.6838477,11.04901237,13.04848639,2.80841345,317.0636935,280.2575557,13.3852514,344.3357456,1281.668464,2758.79,8634.51,413.31,8.47,0.94,1119.64,506.28,85.92,21.7,219.67,121.59,245.48,6.01,275.66,258.94,171.27,14.15,14862.31,70.95,7.52,1.58,0.43,5.37,280.35,61.72,41.05,21.08
Luwu Timur,2017,368.9171368,22.17970803,119.8445067,281.867918,14.95515894,275.7412088,0,302.672571,30.09584264,1416.274051,2955.13,8668,430.91,9.09,1.05,1188.71,549.46,91.41,22.9,241.3,126.06,261.71,6.4,294.12,272.68,184.29,15.49,15318.72,71.46,7.66,3.07,0.41,2.58,285.01,63.71,41.46,21.94
Luwu Timur,2018,393.4242526,24.03464966,125.1527989,11.49638578,254.2227161,334.1271616,0,355.5165733,22.1349029,1520.109441,3150.53,8681.49,455.67,9.63,1.14,1279.37,606.13,100.79,25.59,266.31,134.02,274.47,7.07,330.23,296.29,201.79,17.26,15837.8,72.16,7.23,3.39,0.4,2.18,289.66,69.41,29.72,21.15
Luwu Timur,2019,426.7163379,29.83545426,112.4502574,9.980039665,243.6037817,331.3154147,5.905276051,347.6830347,12.81102089,1520.300617,3183.97,8447.71,521.87,10.03,1.21,1403.98,669.82,111.86,27.79,294.89,141.69,295.87,7.82,348.46,317.69,219.43,18.86,16022.95,72.8,6.98,1.17,0.39,3.81,294.29,71.34,42.33,20.83
Luwu Timur,2020,431.2953696,21.55949611,69.5071324,7.725113209,191.2906631,359.5971226,3.586541011,340.8275595,11.57598125,1436.964979,3175.95,8587.77,507.75,10.52,1.32,1448.2,662.57,97.39,24.23,328.12,147.33,313.48,7.15,345.81,337.64,245.15,16.54,16256.9,73.22,6.85,1.46,0.41,4.46,296.74,72.85,34.86,20.82
Luwu Timur,2021,376.746055,24.86430607,225.6921524,33.72490199,49.26466541,418.1928323,2.305977929,355.8570158,16.0624098,1502.710317,3308.98,7916.77,541.15,11.17,1.47,1559,707.1,103.94,24.8,353.19,154.8,331.4,7.42,366.5,356.56,268.62,17.62,16030.5,73.34,6.94,-1.39,0.4,4.96,300.03,78.71,36.7,20.99
Luwu Timur,2022,541.9073919,23.37648229,266.7875934,34.24857,52.44272381,397.1223852,5.379008772,329.5984987,15.58242014,1666.445074,3254.37,8048.03,581.75,11.79,1.61,1598.88,762.5,116.07,27.26,376.91,158.51,351.83,7.89,377.25,367.14,288.51,18.91,16349.21,73.92,6.81,1.99,0.39,4.48,304.3,93.36,38.61,20.89
Luwu Timur,2023,607.8180355,27.78197807,290.6795666,17.96754476,71.45535035,425.1117896,7.305102418,373.0182558,16.67695185,1837.814575,3293.12,9395.08,566.92,12.49,1.65,1697.12,793.34,119.47,28.39,364.59,164.95,354.14,8.34,406.18,396.82,306.21,19.63,17928.43,74.35,6.93,9.66,0.39,5.42,308.53,99.49,37.28,21.57
Luwu Timur,2024,646.0480941,0,0,0,0,473.2051166,2.377337762,401.5447475,0,1423.590213,3400.12,9552.43,583.21,13.7,1.54,1842.74,826.95,122.73,29.81,369.84,180.48,369.01,8.94,441,426.03,324.52,21.48,18514.53,74.95,6.55,3.29,0.35,4.58,312.73,97.2,37.4,20.7
Luwu Timur,2025,761.5840843,0,0,0,0,476.6645953,4.876900007,410.1253675,0,1591.142342,3588,9845,618,13,2,1898,852,116,31,381,220,381,9,449,431,344,22,19202,77.28,5.79,3.7,0.37,3.7,316.9,99.87,36.88,18.55
Luwu Utara,2014,165.6683447,10.10403942,82.02648574,8.090528033,86.47299689,154.8156116,0.75337965,315.4933261,24.64652298,848.071235,2931.46,86.87,238.24,8.19,0.27,598.46,582.35,107.25,56.07,216.53,85.6,164.55,1.01,290.29,321.81,49.11,1.47,5739.51,66.9,14.31,8.82,0.47,1.8,299.99,25.3,31.63,43
Luwu Utara,2015,276.8823906,11.76683281,82.12116057,13.78523263,154.3734738,202.5495004,3.091823075,308.6832888,25.18269428,1078.436397,3068.59,100.53,254.27,7.75,0.27,647.94,631.12,116.62,61.04,244,91.91,178.44,1.08,306.81,356.59,53.67,1.58,6122.22,67.44,13.87,6.67,0.37,2.6,302.41,28.73,32.14,41.89
Luwu Utara,2016,17.24821695,80.30915843,1.864014833,5.000929705,1.227984,30.30404942,92.298023,4.436239824,74.69388476,307.3825009,3291.61,110.18,270.71,9.15,0.29,693.88,687.69,127.42,66.82,266.47,106.17,195.28,1.15,306.28,387.95,58.1,1.74,6580.9,67.81,14.36,7.49,0.41,2.6,305.46,32.02,32.66,43.75
Luwu Utara,2017,380.4323215,15.88792248,72.41814298,213.7314859,6.825778096,238.1077754,0.16389,262.389409,35.33546894,1225.292194,3444.79,120.5,294.94,9.69,0.31,794.68,781.35,139.54,73.98,289.71,105.38,212.04,1.25,322.22,425.54,63.33,1.91,7081.17,68.35,14.33,7.6,0.36,3.31,308.14,35.02,33.18,44.04
Luwu Utara,2019,460.4887071,15.68528476,74.70196613,20.81985137,214.2341998,238.3169829,5.116178878,325.7158898,22.84918817,1377.928249,3806.79,148.52,367.85,11.15,0.37,968.45,989.07,174.22,92.49,350.72,111.64,233.81,1.55,395.61,488.5,78.09,2.37,8221.2,69.46,13.6,7.11,0.36,2.76,313.26,41.65,28.19,42.48
Luwu Utara,2020,532.2958118,12.33630193,62.63446541,10.88279058,136.7504749,255.3671588,4.197594348,322.412008,26.66124735,1363.537853,3722.53,153,358.51,11.81,0.39,958.02,976.02,158.69,84.35,386.68,118.52,240.23,1.42,398.8,515.55,86.06,2.15,8172.74,69.57,13.41,-0.59,0.34,3.01,322.92,41.07,30.04,42.2
Luwu Utara,2021,411.0011742,21.50577468,156.1077699,26.87990099,12.40514782,273.8816762,0,333.4125984,32.54508638,1267.739129,3925.73,157.89,375.98,12.11,0.41,970.3,994.06,159.87,86.84,406.99,129.61,243.35,1.49,406.04,526.96,91.67,2.21,8491.5,70.02,13.59,3.9,0.34,3.91,325.99,44.2,26.08,43.15
Luwu Utara,2022,432.5873061,15.60047459,345.0251405,13.72561478,29.76583285,269.7127386,0.6075063,323.6904531,18.61787083,1449.332938,4061.19,155.71,380.33,12.67,0.44,1027.34,1041.14,177.95,92.96,451.03,129.31,247.37,1.58,433.01,569.35,93.31,2.26,8876.97,70.51,13.22,4.54,0.35,2.81,329.89,48.65,29.54,42.29
Luwu Utara,2023,432.0516894,23.55704009,159.4173591,10.23576713,19.9111775,242.8063603,0.92486841,374.9847441,16.9770212,1280.866027,4190.2,154.93,407.63,13.71,0.45,1202.19,1107.68,188.52,95.07,475.12,122.46,271.37,1.65,423.44,572.2,102.02,2.42,9331.06,71.34,12.66,5.12,0.34,2.63,333.78,53.45,25.14,40.79
Luwu Utara,2024,472.8649401,0,0,0,0,260.5682414,0.1306821,390.0518136,0,1233.171498,4417.66,159.1,442.18,14.32,0.46,1080.73,1195.8,203.43,105.11,511.31,129.79,287.8,1.71,451.77,615.82,112.65,2.81,9732.44,72.07,11.24,4.3,0.27,2.39,337.66,58.31,29.34,36.46
Luwu Utara,2025,483.3901976,0,0,0,0,245.0305835,0.593116305,410.8378864,0,1239.734948,4618.46,172.07,461.27,14.75,0.5,1226.29,1265.51,222.8,111.07,537.54,151.08,303.88,1.8,481.95,640.97,119.66,3.03,10332.63,74.81,10.74,6.17,0.32,2.24,341.5,64.54,28.25,35.03
Makassar,2014,868.9022151,23.43246869,156.9416206,111.5269703,400.25128,307.5653615,39.9500395,634.2135336,63.29984399,2606.083333,465.61,1.13,16985.53,40.13,196.3,13284.17,15658.93,2105.27,1897.32,9277.4,4547.3,3100.37,906.04,2607.64,7409.07,2084.75,2025.86,82592.82,79.35,4.48,7.39,0.43,10.9,1429.24,70.24,57.59,64.2
Makassar,2015,989.8466109,24.34630538,166.1085809,123.1994389,486.471156,363.9378276,41.52617616,800.4450266,66.39327113,3062.274394,478.11,0.97,18077.51,38.24,197.17,14415.64,16762.34,2212.73,2014.49,10125.62,4882.85,3347.93,952.18,2905.99,7999.27,2248.32,2168.81,88828.15,79.94,4.38,7.55,0.4,12.02,1447.68,78.94,57.01,63.24
Makassar,2016,24.49503774,123.3186381,3.291909163,22.69545794,3.726431011,204.8815228,203.5336387,14.11088235,167.9603467,768.0138645,497.71,0.84,19558.17,42.29,201.33,15585.75,18271.24,2312.6,2184.96,11081.12,5520.29,3418.46,1009.67,2840.63,8596.48,2464.25,2371.84,95957.64,80.53,4.56,8.03,0.4,12.02,1467.95,87.13,56.42,66.78
Makassar,2017,1106.584673,91.04368179,151.7156052,578.2967035,17.75448459,402.6711264,29.95365108,871.0506922,64.55300599,3313.623624,505.59,0.77,20806.6,45,215.19,16897.85,20112.43,2516.61,2375.28,12168.29,5841.81,3497.12,1094.12,3004,9442.55,2707.72,2595.25,103826.16,81.13,4.59,8.2,0.4,10.59,1485.94,95.67,55.83,68.19
Makassar,2019,1032.880081,12.54786761,152.3747252,128.2031114,671.3123831,485.7528623,33.19145949,978.8569504,54.00377997,3549.123221,526,0.58,22728.08,53.87,224.81,20034.23,25142.39,2995.64,2849.88,14916.42,6366.61,3835.37,1354.93,3770.96,11120.17,3285.55,3260.35,122465.83,82.25,4.28,8.79,0.39,9.83,1521.09,117.3,67.82,65.12
Makassar,2020,1111.90221,8.113192135,109.9966054,115.7783832,261.7759,411.5750682,21.95181789,888.7462271,39.94660001,2969.786004,508.93,0,21767.9,51.52,236.02,20232.8,23777.63,2476.09,2284.79,16487.16,6482.79,3838.84,1200.58,3754.75,11302.84,3680.34,2822.79,120905.75,82.25,4.54,-1.27,0.4,15.92,1423.88,125.32,61.63,69.98
Makassar,2021,1768.346654,85.36230307,72.20996944,377.1067652,4.652527744,319.0155521,13.71301191,487.6629906,22.42695472,3150.496729,518.31,0,22678.92,54,244.66,21101.29,25119.55,2641.16,2326.3,17525.17,6282.85,3949.18,1266.83,3917.66,11695.48,3952.68,3038.78,126312.83,82.66,4.82,4.47,0.4,13.18,1434.44,132.68,60.64,74.69
Makassar,2022,1178.944436,101.7897539,459.1946042,111.0032908,91.54930408,534.1182358,49.26444998,993.511583,30.68732622,3550.062984,532.42,0,24726.64,58.66,256.92,21371.12,26747.84,3138.09,2791.54,18129.79,6290.56,4100.56,1447.45,4016.18,11881.44,4323.44,3319.95,133132.6,83.12,4.58,5.4,0.4,11.82,1444.88,144.6,60.61,71.83
Makassar,2023,1357.698197,101.2613652,1034.245441,93.5299217,138.7273642,578.8215865,66.15364218,1106.141639,31.14841568,4507.727572,537.8,0,25610.98,61.22,261.23,22025.08,28032.66,3470.42,3138.85,19770.53,6535.84,4290.05,1582.69,4311.62,12224.81,4676.24,3667.88,140197.9,83.52,5.07,5.31,0.39,10.6,1454.96,155.95,61.4,80.32
Makassar,2024,1328.922997,0,0,0,0,547.3005309,42.16710491,1245.622499,0,2828.957697,564.16,0,26839.53,63.03,273.26,22260.26,29532.42,3687.61,3346.79,21104.45,7122.77,4516.17,1700.69,4307.36,13130.23,5321.21,4223.27,147993.2,83.9,4.97,5.56,0.37,9.71,1464.64,165.96,59.7,79.53
Makassar,2025,1123.598768,0,0,0,0,677.2035481,68.38742004,1554.861823,0,3507.573119,589.34,0,28427.66,63.38,285.93,23154.9,30968.88,3885.92,3545.07,22219.86,7731.04,4767.16,1820.09,4337.82,13679.19,5734.59,4684.75,155895.57,85.66,4.43,5.34,0.39,9.6,1473.9,177.34,63.88,71.63
Maros,2014,220.199807,16.79023028,113.351481,30.66370292,60.77801749,169.863649,5.411775234,337.1107943,12.70266324,966.8721204,1750,736.33,2337.24,9.66,10.81,573.02,354.45,3161.03,34.75,143.7,147.01,150.43,2.62,373.17,174.91,69.99,37.71,10066.82,66.65,11.93,4.73,0.4,4.6,335.6,40.11,58.89,40.1
Maros,2015,272.2465936,25.560513,85.7639385,25.80840421,157.0352664,168.8992725,10.1098326,366.4797477,7.756517028,1119.660086,1888.86,828.87,2586.45,8.97,10.87,627.45,371.95,3407.38,37.14,153.27,153.62,158.7,2.71,398.31,180.15,76.29,39.22,10930.22,67.13,11.85,8.44,0.44,6.99,338.92,45.94,60.2,40.08
Maros,2016,94.60503109,197.1833621,12.92978413,7.778956803,12.40096165,305.8790059,364.1989743,8.021707028,336.2140759,1339.211859,2069.24,955.85,2653.47,10.04,10.98,675.64,396.96,3917.73,39.63,160.21,168.98,167.67,2.8,432.04,187.36,80.8,40.99,11970.4,67.76,11.41,9.5,0.41,6.99,342.48,52.09,61.51,39.02
Maros,2017,311.5757513,49.65646814,84.62644948,237.5452223,4.717946588,217.2346923,0,365.5911322,4.239170968,1275.186833,2203.48,1142.05,2733.88,10.65,12.17,737.51,415.44,4175.99,41.56,168.7,169.51,178.65,3.06,453.02,193.92,84.11,44.6,12768.32,68.42,11.14,6.81,0.37,6.85,345.63,56.12,62.83,38.5
Maros,2018,350.2234115,39.5906847,80.09177414,26.12584784,254.8141286,224.1437991,10.03054598,390.9702198,4.246523791,1380.236936,2312.48,1253.53,2747.09,11.23,13.08,807.44,451.11,4541.58,46.55,179.84,176.66,190.66,3.37,478.68,207.04,88.46,49.94,13558.74,68.94,10.31,6.19,0.34,6.19,348.68,60.92,44.69,35.97
Maros,2019,406.8031965,36.92052819,68.14407891,27.40707248,199.6582955,273.4206483,12.88267451,377.4831376,4.595147769,1407.31478,2434.72,1419.9,2787.67,11.93,15.2,950.69,508.1,4040.99,53.22,190.75,189.05,204.73,3.74,540.34,224.92,93.74,56.59,13726.28,69.5,9.89,1.24,0.38,4.42,351.65,64.6,46.38,34.85
Maros,2020,431.3199057,37.55061738,39.53357356,23.69455402,254.1489259,271.5101285,10.94197631,392.6567532,4.260626934,1465.617062,2378.99,1432.11,2604.39,11.36,17.33,1084.87,497.27,2606.87,43.12,214.95,196.64,217.65,3.71,359.4,231.46,102.68,52.87,12233.66,69.86,9.74,-10.87,0.37,6.28,391.77,47.73,42.86,34.62
Maros,2021,427.9457505,19.82259901,55.40594205,230.2025203,5.422535629,258.2895677,0,356.5449626,15.00885595,1368.642734,2572.86,1522.62,2388.25,11.74,17.55,1135.85,515.35,2612.26,44.75,228.88,203.56,225,3.83,517.84,233.43,110.68,56.16,12400.62,70.41,9.57,1.36,0.37,6.3,396.29,47.96,45.68,34.11
Maros,2022,387.1670309,19.06635277,255.9567484,23.76586791,50.70758958,281.6409188,20.40859484,362.4982918,12.44047123,1413.651866,2603.62,1565.6,2504.76,12.14,17.85,1165.43,532.49,3485.34,47.32,230.94,201.97,235.27,3.91,517.73,236.52,112.12,59.93,13532.96,71,9.43,9.13,0.36,5.04,402.15,58.55,46.36,33.9
Maros,2023,419.2035354,31.25083232,271.0693942,14.02727727,42.54523463,284.5878019,15.10082601,429.9212203,13.30715205,1521.013274,2606.12,1651.56,2611.42,12.52,17.83,1199.69,550.92,3884.27,49.31,238.3,197.31,244.53,4.1,516.84,242.7,118.39,64.35,14210.16,71.63,9.65,5,0.37,3.64,407.92,64.69,48.17,34.96
Maros,2025,467.3292613,0,107.8317261,0,0,383.2731797,11.26211388,519.0882947,0,1354.90516,2847.09,1778.5,2751.19,12.84,19.39,1275.55,607.62,4210.71,54.99,253.86,217.54,287.71,4.53,581.39,262.87,134.35,74.66,15374.77,74.79,8.9,4.24,0.34,4.13,419.2,71.36,50.03,32.67
Palopo,2014,157.0339401,14.34281229,59.46048852,24.32597622,91.13120144,130.9948313,4.58786275,155.4565228,11.13008733,648.4637227,753.1,5.68,109.55,4.82,12.29,580.3,863.45,209.9,44.68,201.74,304.33,183.32,3.59,282.57,185.77,93.95,50.19,3889.24,75.65,8.8,7.05,0.4,8.1,164.9,28.8,58.14,14.6
Palopo,2015,170.9955381,14.19535082,62.38650263,26.46415343,108.2319678,161.3108044,4.816209617,202.5661389,11.00741495,761.9740807,755.64,5.94,115.28,4.58,12.34,609.16,968.89,225.17,47.88,217.52,326.92,193.93,3.73,301.3,197.01,103.72,51.87,4140.87,76.27,8.58,6.47,0.43,12.07,168.45,31.68,57.27,14.51
Palopo,2016,83.77791869,214.2266524,15.91501622,27.5669605,4.588411066,215.0338393,255.3480885,8.755644493,219.8322096,1045.044741,759.03,6.27,121.15,5,12.8,654.71,1073.95,242.11,51.93,239.82,375.79,207.07,3.91,299.24,207.14,113.66,54.92,4428.5,76.45,8.74,6.95,0.37,12.07,171.96,34.04,56.41,15.02
Palopo,2017,188.8996718,29.34653051,63.36763562,35.57277384,195.020862,243.6013109,4.880033057,183.0946271,20.07166798,963.8551128,803.17,6.54,125.48,5.37,13.65,696.64,1183.42,259.99,55.75,267.54,376.91,222.55,4.22,315.27,224.2,124.96,60.24,4745.9,76.71,8.78,7.17,0.34,10.96,175.11,36.83,55.55,15.44
Palopo,2018,226.0924258,18.55375825,90.42754323,34.6844075,142.8003268,257.4742241,6.350279511,187.6850834,18.85457876,982.9226274,830.61,6.71,129.18,5.67,14.75,734.33,1291.73,286.15,59.8,303.02,383.21,233.02,4.61,368.09,247.46,137.06,67.61,5102.99,77.3,7.49,7.52,0.34,11.6,178.25,40.32,58.37,14.27
Palopo,2019,200.3964811,19.40881634,72.11750491,30.36630873,104.2599089,294.0206676,9.073542533,203.2256139,23.58301298,956.451857,871.74,6.82,139.2,5.89,15.42,779.14,1421.61,312.34,64.55,335.22,382.09,246.38,5.07,380.14,262.1,145.79,73.88,5447.36,77.98,7.82,6.75,0.34,9.67,181.4,43.79,68.45,14.37
Palopo,2020,199.4683349,18.48328151,49.90121667,35.70376675,79.57817321,354.5404262,5.469859429,188.4299119,12.31082562,943.8857962,884.51,6.76,130.85,6.1,15.42,774.84,1426.6,268.07,60.02,376.6,391.48,258.25,4.97,377.91,265.76,150.56,73.37,5472.08,78.06,7.85,0.45,0.35,10.37,184.68,43.66,58.01,14.71
Palopo,2021,175.0377732,21.71369952,139.1382904,47.96046576,6.020156994,313.4142381,3.434423594,214.0662479,14.69005278,935.4753483,923.6,7.16,134.79,6.37,15.4,816.75,1491.21,304.64,64.27,387.66,423.52,265.22,5.14,399.87,272.25,172.78,77.63,5768.28,78.38,8.14,5.41,0.36,8.83,186.9,46.63,59.89,15.21
Palopo,2023,195.6871798,15.86721594,182.5870281,29.73873376,34.45888197,274.4252392,4.407355554,182.2504084,8.364516588,927.7865593,951.24,8.55,155.98,7.11,17.32,940.22,1648.94,367.16,74.18,435.33,488.69,298.69,6.24,392.6,277.42,196.16,103.87,6369.71,79.45,7.69,4.34,0.37,7.81,192.76,54.47,59.32,14.85
Palopo,2024,214.072298,0,0,0,0,299.3385682,3.6077531,201.2449501,0,892.1301178,949.39,8.84,163.41,7.3,18.48,947.88,1732.73,385.3,79.65,467.51,511.49,316.98,6.57,425.22,298.91,211.84,118.57,6650.07,79.94,7.35,4.4,0.33,7.64,195.67,56.65,57.23,14.43
Palopo,2025,224.3970013,0,0,0,0,279.8440688,4.09421908,185.3370303,0,888.2857233,998.29,9.07,169.44,7.53,18.85,979.6,1797.8,419.38,80.89,492.17,543.21,335.93,6.9,423.43,317.81,225.57,129.41,6955.29,81.74,7.18,4.59,0.33,7.53,198.5,59.37,55.79,14.31
Pangkep,2014,161.7720585,7.386584136,106.8645074,11.56504895,179.3379142,131.7620586,6.249809075,432.6106431,23.70508379,1061.253708,1895.7,993.45,6522.2,9.29,4.75,540.86,667.43,491.11,51.18,204.63,108.63,191.66,0.71,402.79,194.5,137.2,3.69,12419.76,66.16,16.38,10.41,0.43,9.9,320.29,49.86,44.02,52.6
Pangkep,2015,259.0521959,7.96158599,89.87029686,16.97456518,182.8080173,204.9383511,6.968369029,436.4587299,25.7250115,1230.757123,2025.5,1072.76,7077.96,8.96,4.76,585.84,725.28,472.27,54.44,226.48,116.71,205.82,0.75,424.52,210.48,150.45,4.03,13367.01,66.65,16.7,7.63,0.39,7.01,323.3,56.94,44.03,53.85
